x,y,z,cp
-7.037991e-02,-2.861330e-02,4.728275e+00,3.453820e-01
-8.528958e-02,-2.391702e-02,4.728260e+00,5.439014e-01
-9.742888e-02,-1.932009e-02,4.728247e+00,7.466631e-01
-1.070673e-01,-1.480051e-02,4.728237e+00,9.479883e-01
-1.134264e-01,-9.529067e-03,4.728229e+00,5.396896e-01
-1.134454e-01,-3.638659e-03,4.728229e+00,-2.313419e+00
-1.077084e-01,1.931072e-03,4.728238e+00,-1.412807e+00
-9.915879e-02,7.248723e-03,4.728248e+00,-1.246762e+00
-8.795502e-02,1.255546e-02,4.728260e+00,-1.125880e+00
-7.393494e-02,1.792522e-02,4.728275e+00,-1.058753e+00
-5.686785e-02,2.325918e-02,4.728293e+00,-1.004245e+00
-3.662690e-02,2.844792e-02,4.728313e+00,-9.711192e-01
-1.324161e-02,3.319615e-02,4.728336e+00,-9.451876e-01
1.300094e-02,3.714931e-02,4.728361e+00,-9.391404e-01
4.151694e-02,3.969366e-02,4.728389e+00,-9.271012e-01
7.141333e-02,3.977217e-02,4.728417e+00,-7.795761e-01
1.014915e-01,3.735337e-02,4.728445e+00,-5.257306e-01
1.306133e-01,3.392026e-02,4.728473e+00,-3.300324e-01
1.579176e-01,3.060345e-02,4.728499e+00,-2.113531e-01
1.827668e-01,2.758578e-02,4.728523e+00,-1.338265e-01
2.047881e-01,2.486264e-02,4.728544e+00,-7.875746e-02
2.238531e-01,2.234542e-02,4.728562e+00,-2.441690e-02
2.400200e-01,1.993367e-02,4.728578e+00,4.833377e-02
2.534996e-01,1.769274e-02,4.728592e+00,1.396677e-01
2.646171e-01,1.591227e-02,4.728603e+00,1.818593e-01
2.734253e-01,1.655307e-02,4.600835e+00,4.078860e-01
2.622096e-01,1.610123e-02,4.600824e+00,3.921935e-01
2.486167e-01,1.471984e-02,4.600812e+00,3.767146e-01
2.323869e-01,1.220039e-02,4.600796e+00,3.657903e-01
2.133417e-01,8.331773e-03,4.600778e+00,3.401745e-01
1.914503e-01,2.879493e-03,4.600758e+00,2.917493e-01
1.668770e-01,-4.281102e-03,4.600735e+00,2.208015e-01
1.400234e-01,-1.306630e-02,4.600709e+00,1.136746e-01
1.114546e-01,-2.296298e-02,4.600682e+00,-5.595780e-02
8.168325e-02,-3.257201e-02,4.600654e+00,-2.737830e-01
5.119058e-02,-3.958249e-02,4.600627e+00,-4.282500e-01
2.102315e-02,-4.252402e-02,4.600600e+00,-4.106958e-01
-7.303446e-03,-4.178484e-02,4.600575e+00,-2.328980e-01
-3.269534e-02,-3.872873e-02,4.600553e+00,-1.294080e-02
-5.469175e-02,-3.452277e-02,4.600533e+00,1.910226e-01
-7.324762e-02,-2.979108e-02,4.600516e+00,3.881991e-01
-8.856610e-02,-2.495853e-02,4.600502e+00,5.863142e-01
-1.009686e-01,-2.023282e-02,4.600490e+00,7.919505e-01
-1.107641e-01,-1.558629e-02,4.600480e+00,9.766588e-01
-1.172068e-01,-1.018747e-02,4.600472e+00,3.584917e-01
-1.172960e-01,-4.280768e-03,4.600473e+00,-2.812915e+00
-1.116363e-01,1.224515e-03,4.600481e+00,-1.644305e+00
-1.031273e-01,6.535281e-03,4.600490e+00,-1.404582e+00
-9.188723e-02,1.189297e-02,4.600502e+00,-1.247845e+00
-7.771278e-02,1.738227e-02,4.600517e+00,-1.154254e+00
